OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
889015,2b0abcd7,11/12/2015 15:15,Thursday,Nov,12,2015,15,11,12,2015,ROBBERY,FELONY,B,40,BRONX,N.Y. POLICE DEPT,1009419,235573,"(40.813241616, -73.909076182)"
889017,a4c4d9f7,11/12/2015 15:25,Thursday,Nov,12,2015,15,11,12,2015,ROBBERY,FELONY,B,43,BRONX,N.Y. HOUSING POLICE,1026382,237309,"(40.8179418330001, -73.847785022)"
889020,f791905c,11/12/2015 15:30,Thursday,Nov,12,2015,15,11,12,2015,GRAND LARCENY,FELONY,C,20,MANHATTAN,N.Y. POLICE DEPT,989208,221350,"(40.774237779, -73.982100724)"
889022,85efbc4c,11/12/2015 15:40,Thursday,Nov,12,2015,15,11,12,2015,FELONY ASSAULT,FELONY,A,103,QUEENS,N.Y. POLICE DEPT,1038120,195208,"(40.702321881, -73.805714913)"
889027,5356c2e4,11/12/2015 15:50,Thursday,Nov,12,2015,15,11,15,2015,GRAND LARCENY,FELONY,A,70,BROOKLYN,N.Y. POLICE DEPT,995489,161628,"(40.6103089710001, -73.9595229729999)"
889072,64775fc3,1/10/2015 15:00,Saturday,Jan,10,2015,15,5,5,2015,GRAND LARCENY,FELONY,C,69,BROOKLYN,N.Y. POLICE DEPT,1009101,171956,"(40.63862944, -73.910459896)"
889074,dc09bbf3,1/10/2015 15:00,Saturday,Jan,10,2015,15,1,10,2015,BURGLARY,FELONY,A,113,QUEENS,N.Y. POLICE DEPT,1041282,183366,"(40.6697985710001, -73.794411178)"
889081,26005dc1,1/10/2015 15:45,Saturday,Jan,10,2015,15,1,10,2015,GRAND LARCENY,FELONY,A,79,BROOKLYN,N.Y. POLICE DEPT,997731,186926,"(40.6797433990001, -73.951397621)"
889082,7651499a,1/10/2015 15:50,Saturday,Jan,10,2015,15,1,10,2015,GRAND LARCENY,FELONY,C,14,MANHATTAN,N.Y. POLICE DEPT,986650,212527,"(40.7500219730001, -73.991339463)"
889084,90479e2f,1/10/2015 16:00,Saturday,Jan,10,2015,16,1,11,2015,GRAND LARCENY,FELONY,B,75,BROOKLYN,N.Y. POLICE DEPT,1017142,187883,"(40.682319303, -73.8814094159999)"
